pokemon1,pokemon2,lvldif,a1,a2,a3,a4,b1,b2,b3,b4,win
venonat,charizard,41,crabhammer,sludge,string shot,disable,headbutt,psywave,double team,cut,true
fearow,golbat,4,razor wind,thrash,jump kick,fire punch,vice grip,water gun,horn attack,acid armor,true
koffing,charizard,87,spore,razor leaf,kinesis,bite,spore,flamethrower,amnesia,petal dance,true
charmander,ekans,-11,drill peck,sleep powder,headbutt,mega punch,aurora beam,hyper fang,focus energy,aurora beam,false
omastar,alakazam,-56,thunder punch,growl,fissure,tri attack,transform,egg bomb,swift,fly,false
hypno,victreebel,15,leech life,seismic toss,swift,slash,fire blast,substitute,recover,minimize,true
porygon,vulpix,-35,barrage,petal dance,string shot,double slap,thrash,rage,psychic,hyper fang,false
omanyte,bulbasaur,-7,smog,horn drill,bite,mega punch,smog,focus energy,recover,scratch,true
kadabra,mewtwo,-47,egg bomb,dizzy punch,dizzy punch,tri attack,focus energy,withdraw,spore,fire punch,false
hitmonchan,eevee,55,bind,hyper fang,leech life,smokescreen,night shade,hypnosis,growth,rest,true
porygon,tauros,-41,dragon rage,double slap,psywave,thunder,double-edge,confuse ray,twineedle,conversion,false
machop,nidorino,-39,confusion,psychic,slash,withdraw,strength,sharpen,spore,high jump kick,false
horsea,mr. mime,-53,leech seed,smokescreen,flamethrower,thunder,strength,toxic,constrict,thunder,false
meowth,magikarp,-9,gust,bubble,dizzy punch,water gun,mega punch,hydro pump,bide,fury swipes,false
weezing,charmander,38,double kick,psybeam,submission,confuse ray,hypnosis,spore,rolling kick,earthquake,true
hitmonchan,jolteon,54,hypnosis,super fang,take down,transform,peck,aurora beam,mega drain,glare,true
drowzee,kangaskhan,85,reflect,self-destruct,stomp,peck,toxic,dig,super fang,poison gas,true
wigglytuff,horsea,-48,stomp,agility,mega drain,harden,spore,aurora beam,string shot,spike cannon,false
golduck,hitmonchan,81,counter,splash,spike cannon,horn drill,crabhammer,constrict,solar beam,tail whip,true
kingler,rapidash,-55,mega punch,supersonic,dizzy punch,hydro pump,ice beam,leech life,water gun,mega kick,false
cloyster,oddish,-72,rage,self-destruct,dizzy punch,drill peck,thunder wave,high jump kick,whirlwind,growl,false
tangela,kangaskhan,51,rage,waterfall,hyper fang,supersonic,explosion,reflect,transform,barrier,true
butterfree,dewgong,-17,horn attack,water gun,ice punch,lovely kiss,high jump kick,mist,mimic,body slam,false
hitmonchan,rhydon,66,earthquake,dream eater,crabhammer,disable,sky attack,earthquake,fly,aurora beam,true
seaking,pinsir,-4,sharpen,leech seed,reflect,rock slide,headbutt,growl,confusion,night shade,false
rhydon,flareon,2,soft-boiled,psywave,blizzard,crabhammer,conversion,barrage,seismic toss,screech,true
gloom,weedle,-44,drill peck,ice beam,double-edge,horn drill,thunder wave,mist,rest,hyper fang,true
abra,magneton,-43,high jump kick,skull bash,acid armor,acid,clamp,constrict,razor leaf,vine whip,false
pinsir,magneton,13,focus energy,substitute,acid armor,rolling kick,sand attack,absorb,double slap,mega drain,true
nidoqueen,magnemite,0,mimic,earthquake,horn drill,lovely kiss,hyper fang,hyper beam,horn attack,seismic toss,false
articuno,exeggutor,16,growl,mega punch,skull bash,swords dance,self-destruct,pound,horn drill,crabhammer,true
charmeleon,seadra,-76,sonic boom,sonic boom,stomp,explosion,slash,fissure,amnesia,surf,false
kingler,muk,-70,vice grip,absorb,splash,explosion,transform,mist,blizzard,body slam,false
starmie,sandshrew,0,explosion,sleep powder,cut,slam,fire punch,quick attack,psywave,ice beam,true
meowth,golduck,72,wing attack,teleport,seismic toss,vice grip,toxic,tackle,submission,water gun,true
seaking,magneton,0,skull bash,stomp,whirlwind,smog,slam,pound,amnesia,teleport,true
paras,lickitung,-10,crabhammer,dream eater,pound,rest,smog,screech,blizzard,egg bomb,false
golduck,scyther,-17,sonic boom,water gun,acid,hyper fang,take down,dizzy punch,slam,defense curl,false
goldeen,pikachu,-64,tackle,transform,defense curl,self-destruct,swift,gust,double slap,smog,false
victreebel,marowak,8,clamp,solar beam,sonic boom,substitute,horn attack,spike cannon,mega drain,defense curl,true
rattata,pidgeotto,32,peck,kinesis,lovely kiss,razor leaf,poison powder,double team,smog,barrage,true
slowpoke,eevee,-33,kinesis,bonemerang,low kick,egg bomb,slam,ember,poison powder,rock throw,false
aerodactyl,arbok,-14,mega kick,toxic,harden,pay day,cut,ice punch,waterfall,defense curl,false
oddish,bellsprout,-15,struggle,haze,agility,headbutt,fire spin,thunder wave,confuse ray,body slam,false
cubone,graveler,51,submission,sonic boom,pay day,horn drill,toxic,wing attack,sleep powder,scratch,true
fearow,golem,-64,mega drain,rock slide,fly,tail whip,fire blast,psychic,thunder,rolling kick,false
mewtwo,drowzee,20,hyper beam,jump kick,fire spin,focus energy,stomp,meditate,double kick,jump kick,true
rattata,grimer,-1,thunder shock,gust,super fang,waterfall,take down,meditate,splash,dream eater,false
pikachu,lapras,-62,guillotine,light screen,fire punch,screech,super fang,psychic,lovely kiss,supersonic,false
wartortle,seel,-61,poison powder,gust,fire blast,poison sting,headbutt,strength,screech,dragon rage,false
rapidash,gengar,-86,recover,thrash,rock slide,wing attack,struggle,guillotine,gust,leer,false
charmeleon,bulbasaur,-6,leer,recover,rest,guillotine,conversion,explosion,mimic,body slam,false
starmie,ekans,-57,sky attack,crabhammer,poison gas,harden,counter,strength,drill peck,kinesis,false
graveler,arbok,-22,growl,tri attack,minimize,barrier,quick attack,karate chop,sleep powder,solar beam,false
nidorino,alakazam,-43,pin missile,poison powder,hyper beam,teleport,psybeam,egg bomb,swift,haze,false
mankey,farfetch'd,-32,fire spin,water gun,barrage,bubble beam,confusion,pin missile,fire spin,waterfall,false
horsea,slowpoke,26,horn attack,razor wind,water gun,fissure,dizzy punch,horn drill,self-destruct,withdraw,true
rhydon,grimer,-37,thunderbolt,waterfall,submission,lick,harden,splash,tri attack,bubble,false
kadabra,weezing,-25,quick attack,super fang,light screen,reflect,fly,thunderbolt,psywave,peck,false
eevee,gastly,27,bubble,fly,poison powder,poison sting,headbutt,barrage,jump kick,dragon rage,true
dugtrio,jolteon,31,surf,swift,withdraw,razor wind,slam,smokescreen,cut,double kick,true
chansey,muk,83,transform,thunder wave,thunder punch,fire punch,psywave,double-edge,lick,leech seed,true
machamp,dodrio,-7,bonemerang,meditate,thunder,confuse ray,sludge,lick,pin missile,flamethrower,false
snorlax,aerodactyl,-82,sky attack,karate chop,mist,egg bomb,rolling kick,peck,spore,glare,false
grimer,rapidash,39,acid armor,agility,metronome,soft-boiled,psybeam,sharpen,waterfall,focus energy,false
jynx,nidorina,-51,struggle,growth,skull bash,thrash,mirror move,dragon rage,meditate,guillotine,false
gastly,nidoran♀,-5,rage,sky attack,rock throw,spore,thunderbolt,sky attack,double kick,peck,false
gyarados,aerodactyl,59,confuse ray,vice grip,bubble,acid armor,leech life,screech,bubble,minimize,true
magmar,lickitung,-61,bind,pin missile,recover,horn attack,pound,headbutt,roar,sing,false
poliwag,zubat,-3,haze,dream eater,mega drain,skull bash,thunder shock,leer,night shade,conversion,true
gengar,vileplume,14,low kick,drill peck,sing,minimize,fire spin,recover,thunder,pound,true
krabby,tentacruel,-78,spike cannon,defense curl,substitute,headbutt,confuse ray,mimic,mega drain,acid,false
koffing,dragonite,-24,mega drain,drill peck,leech seed,flamethrower,ice beam,vine whip,sharpen,bind,false
mewtwo,dratini,-57,surf,tail whip,night shade,growl,fire spin,low kick,body slam,reflect,false
spearow,dratini,-2,bone club,thunderbolt,growl,jump kick,confuse ray,rolling kick,rock slide,metronome,true
horsea,doduo,-88,fire blast,seismic toss,double kick,ice beam,take down,growth,mega kick,haze,false
dodrio,exeggutor,-43,recover,strength,egg bomb,string shot,smog,flash,mega drain,sand attack,false
vaporeon,nidorina,-25,soft-boiled,hyper beam,disable,glare,mega punch,wing attack,spore,sky attack,false
raticate,magnemite,1,waterfall,string shot,comet punch,light screen,recover,lick,screech,explosion,true
tangela,nidoran♀,-51,agility,tri attack,fury swipes,dragon rage,acid,amnesia,poison gas,barrier,false
ekans,oddish,-29,barrage,toxic,focus energy,poison gas,bonemerang,ice punch,wing attack,skull bash,false
spearow,gengar,36,screech,thunder wave,low kick,confusion,sky attack,bubble beam,smog,roar,true
caterpie,chansey,33,roar,splash,pin missile,spike cannon,agility,focus energy,solar beam,waterfall,false
victreebel,vileplume,-41,bind,fury attack,tri attack,mega kick,teleport,waterfall,psychic,karate chop,false
grimer,beedrill,-41,spore,double kick,egg bomb,dizzy punch,ember,water gun,recover,petal dance,false
pinsir,hitmonlee,-2,water gun,rock throw,high jump kick,surf,hydro pump,ember,karate chop,recover,true
clefable,magnemite,-63,dig,absorb,hydro pump,mist,thunderbolt,sonic boom,bubble beam,sludge,false
rapidash,vileplume,21,leer,horn attack,waterfall,stun spore,twineedle,peck,splash,bite,true
alakazam,zubat,46,sludge,horn drill,thunder punch,light screen,poison powder,psywave,tail whip,recover,true
marowak,magmar,-48,leech seed,quick attack,vine whip,dream eater,dizzy punch,swords dance,tri attack,seismic toss,false
poliwhirl,poliwhirl,-26,stun spore,hydro pump,mist,razor leaf,sky attack,fire spin,tackle,double team,false
omanyte,machop,21,thrash,conversion,sing,flamethrower,high jump kick,pound,skull bash,constrict,true
ivysaur,metapod,-37,rock slide,rage,skull bash,bite,thunderbolt,splash,mega kick,comet punch,false
kabuto,magmar,-58,vine whip,flamethrower,aurora beam,mega drain,fury attack,pound,supersonic,fire punch,false
charmeleon,doduo,-43,scratch,fire punch,light screen,flamethrower,stun spore,whirlwind,submission,metronome,false
dratini,kangaskhan,12,stomp,splash,rock slide,surf,minimize,leech seed,smog,scratch,true
lapras,staryu,-29,spike cannon,withdraw,screech,acid,poison sting,mega punch,absorb,recover,false
charizard,slowbro,34,hypnosis,scratch,slam,night shade,mist,hyper beam,barrage,wing attack,true
staryu,doduo,57,supersonic,dizzy punch,mega punch,whirlwind,reflect,low kick,pin missile,struggle,true
starmie,pidgeotto,-42,bubble,psywave,poison sting,tail whip,guillotine,explosion,double slap,stomp,false
koffing,pidgey,12,earthquake,kinesis,fly,fury attack,sing,fire blast,explosion,bide,true
articuno,electabuzz,40,stun spore,dizzy punch,stun spore,thunder punch,dragon rage,vine whip,whirlwind,razor wind,true
slowbro,nidoqueen,-54,thunder,supersonic,blizzard,comet punch,lovely kiss,ice punch,leech life,double slap,false
marowak,beedrill,90,guillotine,flamethrower,horn drill,poison powder,ice beam,struggle,waterfall,flamethrower,true
shellder,lapras,38,bubble,dream eater,jump kick,confuse ray,transform,pound,rage,pay day,true
chansey,electrode,-11,mega kick,harden,clamp,guillotine,whirlwind,flamethrower,pound,dig,false
jynx,jigglypuff,-22,dizzy punch,leer,thunderbolt,egg bomb,submission,tackle,wing attack,screech,false
paras,koffing,-27,fire blast,vine whip,self-destruct,mega drain,slash,transform,headbutt,thunder shock,false
pidgeotto,moltres,51,wing attack,growl,dream eater,body slam,comet punch,disable,super fang,seismic toss,true
muk,flareon,60,hyper fang,hydro pump,haze,solar beam,mega drain,meditate,hyper beam,rock throw,true
nidorino,kingler,7,thunder wave,minimize,fire blast,substitute,crabhammer,dragon rage,growth,jump kick,true
electrode,golem,1,double team,mirror move,ember,haze,lick,pound,fissure,pin missile,false
slowbro,bulbasaur,-63,razor wind,thunderbolt,seismic toss,counter,tail whip,dig,dizzy punch,egg bomb,false
slowbro,squirtle,22,fissure,take down,soft-boiled,growl,tri attack,double kick,flash,tackle,true
weedle,primeape,-1,toxic,rolling kick,growl,ember,double slap,hypnosis,guillotine,twineedle,true
diglett,venusaur,-14,skull bash,leer,pay day,bubble beam,dream eater,haze,hypnosis,karate chop,false
beedrill,moltres,-40,string shot,whirlwind,mimic,double team,rest,leech life,crabhammer,splash,false
poliwhirl,ivysaur,-18,pin missile,withdraw,fissure,mimic,bubble,solar beam,meditate,dragon rage,false
seel,caterpie,-28,comet punch,super fang,pay day,defense curl,focus energy,double slap,vine whip,thrash,false
tentacruel,snorlax,1,light screen,substitute,whirlwind,rock slide,mega drain,dream eater,smokescreen,drill peck,false
kabuto,nidoran♂,31,acid armor,karate chop,harden,transform,hydro pump,acid armor,reflect,headbutt,true
raichu,flareon,-16,fissure,bind,double kick,thunderbolt,horn drill,sleep powder,hyper fang,leech seed,false
slowbro,jynx,6,waterfall,horn drill,disable,smog,mimic,absorb,jump kick,aurora beam,true
marowak,metapod,-5,disable,kinesis,strength,substitute,seismic toss,sing,scratch,substitute,true
drowzee,dratini,89,super fang,egg bomb,splash,thunder,rock slide,roar,disable,supersonic,true
electrode,mr. mime,-58,bubble beam,slam,barrage,sand attack,gust,defense curl,constrict,splash,false
kabutops,snorlax,49,bind,slam,poison powder,transform,twineedle,sand attack,double-edge,tail whip,true
clefairy,hypno,-6,sonic boom,rock throw,mist,headbutt,haze,lovely kiss,recover,teleport,true
slowpoke,dragonite,-9,bind,poison gas,egg bomb,spike cannon,soft-boiled,metronome,mirror move,mega kick,true
starmie,bulbasaur,12,double kick,psychic,teleport,leech life,substitute,egg bomb,pound,dragon rage,true
krabby,hypno,20,rock throw,flamethrower,whirlwind,rock throw,bone club,bite,stomp,barrage,true
poliwag,tentacruel,-47,explosion,ember,low kick,seismic toss,mist,horn drill,reflect,fire blast,true
parasect,voltorb,-34,supersonic,poison gas,sonic boom,bubble,ice beam,hypnosis,rock slide,ice punch,false
magnemite,rattata,9,razor wind,ember,fire blast,lick,peck,toxic,growth,jump kick,true
dugtrio,nidorina,-27,thrash,pay day,whirlwind,counter,sleep powder,counter,teleport,hypnosis,true
articuno,caterpie,-63,night shade,acid armor,slam,pin missile,splash,rock throw,smokescreen,whirlwind,false
oddish,caterpie,-43,sing,fly,acid armor,mega drain,sludge,harden,high jump kick,conversion,false
chansey,machop,3,karate chop,thrash,body slam,splash,withdraw,fury swipes,quick attack,bubble,true
dugtrio,kadabra,-13,swift,fly,leer,stomp,gust,sky attack,amnesia,flamethrower,false
wartortle,rattata,36,psybeam,acid,smokescreen,fly,teleport,acid armor,slash,sharpen,true
wartortle,nidoran♀,-14,swift,twineedle,razor leaf,body slam,poison powder,recover,guillotine,psychic,true
persian,shellder,-69,substitute,mimic,disable,fury swipes,dig,glare,tri attack,stun spore,false
exeggcute,aerodactyl,-45,recover,self-destruct,struggle,fly,night shade,pound,bide,leech life,false
mewtwo,weedle,9,psychic,dream eater,hydro pump,confusion,sludge,spore,struggle,sharpen,true
diglett,geodude,-3,thunder punch,clamp,reflect,rolling kick,barrier,spore,mega drain,body slam,false
hitmonchan,blastoise,51,submission,fissure,confusion,hydro pump,pin missile,karate chop,gust,mimic,true
machop,poliwhirl,25,fire spin,hypnosis,egg bomb,poison powder,sky attack,hyper beam,metronome,karate chop,true
butterfree,lickitung,-88,take down,focus energy,ice beam,karate chop,fury attack,splash,substitute,bite,false
nidoqueen,exeggutor,27,defense curl,thunderbolt,bide,toxic,amnesia,growth,petal dance,sky attack,true
clefairy,cloyster,41,bone club,seismic toss,egg bomb,double team,thunder shock,string shot,super fang,comet punch,true
charizard,pinsir,-18,growth,jump kick,barrier,petal dance,razor wind,metronome,confusion,string shot,false
farfetch'd,gengar,-14,thunder,pay day,confusion,barrage,hyper fang,spike cannon,double team,thunder shock,false
tentacool,clefairy,47,fire punch,sleep powder,comet punch,mega kick,psybeam,flash,high jump kick,flamethrower,true
slowbro,tentacruel,-22,psychic,mist,seismic toss,swords dance,psychic,water gun,dream eater,amnesia,false
ekans,magmar,-22,self-destruct,struggle,thunder shock,agility,soft-boiled,defense curl,vine whip,poison sting,false
spearow,tentacool,-19,constrict,slam,dizzy punch,fly,barrage,thrash,drill peck,constrict,false
poliwrath,clefairy,65,self-destruct,lick,double kick,super fang,hyper fang,comet punch,withdraw,strength,true
spearow,farfetch'd,73,conversion,double slap,hydro pump,splash,spike cannon,tail whip,slam,double-edge,true
caterpie,ivysaur,-5,glare,earthquake,disable,leech life,whirlwind,sleep powder,scratch,disable,false
zubat,vulpix,77,spore,seismic toss,surf,stomp,toxic,psywave,comet punch,rock slide,true
rattata,marowak,-16,low kick,bide,hyper fang,thrash,crabhammer,lovely kiss,metronome,dream eater,false
fearow,wigglytuff,-54,bide,recover,ice punch,light screen,dizzy punch,surf,dragon rage,thrash,false
nidorino,rattata,-6,struggle,spike cannon,growth,high jump kick,aurora beam,leech seed,amnesia,earthquake,true
horsea,nidorino,19,pin missile,splash,minimize,rock throw,mega punch,smokescreen,constrict,water gun,false
primeape,jolteon,-86,bonemerang,substitute,fire punch,mega kick,glare,fly,leech life,razor leaf,false
koffing,jolteon,30,counter,smokescreen,leech life,leech seed,rolling kick,fury swipes,bubble beam,psybeam,false
onix,vaporeon,94,leer,sing,absorb,conversion,night shade,surf,leech seed,fury attack,true
ponyta,moltres,26,poison gas,fury swipes,bubble beam,confusion,dream eater,dream eater,bubble,splash,true
metapod,growlithe,34,confusion,body slam,agility,headbutt,disable,hyper fang,night shade,fire blast,true
wigglytuff,kangaskhan,-7,kinesis,conversion,bide,low kick,metronome,karate chop,sharpen,meditate,false
fearow,mankey,15,focus energy,hydro pump,hydro pump,low kick,poison gas,dream eater,egg bomb,bone club,true
charizard,rhydon,-68,stun spore,lovely kiss,razor wind,pound,vine whip,light screen,light screen,surf,false
kabutops,squirtle,18,light screen,thunderbolt,kinesis,body slam,clamp,night shade,psychic,focus energy,true
dratini,mankey,16,rage,self-destruct,earthquake,fly,twineedle,lovely kiss,hydro pump,thunder shock,true
poliwrath,rattata,39,smokescreen,growth,body slam,hyper beam,sing,comet punch,crabhammer,thunder,true
gengar,pidgeot,-24,rock throw,high jump kick,double-edge,fury attack,pin missile,disable,explosion,rock throw,false
tentacruel,magikarp,-51,sludge,bonemerang,constrict,fire blast,thrash,string shot,haze,thrash,false
mewtwo,koffing,-66,seismic toss,struggle,razor wind,pin missile,double team,waterfall,whirlwind,aurora beam,false
voltorb,spearow,57,rolling kick,wing attack,thunder,smog,cut,waterfall,mega kick,growth,true
tauros,weedle,-6,teleport,razor wind,defense curl,spore,leech life,confusion,rolling kick,reflect,true
goldeen,mr. mime,-5,fire punch,mega punch,vine whip,light screen,thunder,thunder punch,mega kick,roar,false
geodude,poliwag,-23,submission,conversion,pay day,fire punch,dragon rage,skull bash,pin missile,poison powder,false
sandshrew,poliwrath,-5,earthquake,withdraw,thunderbolt,psychic,rolling kick,bubble beam,acid armor,jump kick,false
weezing,metapod,-67,fury swipes,bonemerang,scratch,skull bash,stomp,ember,smokescreen,poison powder,false
shellder,staryu,89,double-edge,fury attack,leer,mimic,glare,razor leaf,conversion,poison sting,true
haunter,pidgeot,15,constrict,gust,whirlwind,waterfall,hypnosis,leech seed,surf,hypnosis,false
vileplume,nidorino,22,peck,dream eater,seismic toss,bind,ice punch,amnesia,wing attack,bubble beam,true
vileplume,goldeen,33,rock throw,agility,sonic boom,swords dance,toxic,jump kick,jump kick,rock throw,true
drowzee,clefairy,-46,hyper fang,hyper fang,spike cannon,smokescreen,submission,poison powder,smog,lovely kiss,false
metapod,machamp,1,comet punch,pay day,conversion,earthquake,blizzard,kinesis,comet punch,thunderbolt,false
electabuzz,kangaskhan,4,smokescreen,harden,aurora beam,thunder wave,slash,hydro pump,low kick,flash,false
ekans,eevee,1,earthquake,fury swipes,smokescreen,vice grip,quick attack,tri attack,bubble beam,double slap,false
ponyta,pikachu,-35,fire spin,wing attack,sharpen,pay day,tri attack,water gun,dragon rage,clamp,false
staryu,dewgong,-19,rest,confuse ray,psybeam,bubble,seismic toss,solar beam,crabhammer,leech seed,false
persian,butterfree,17,ice punch,razor wind,guillotine,smog,lovely kiss,double-edge,sharpen,sharpen,true
farfetch'd,omanyte,24,night shade,strength,bonemerang,thrash,growl,swift,body slam,disable,true
alakazam,snorlax,48,tackle,water gun,light screen,dig,hyper beam,slam,clamp,self-destruct,true
mankey,slowpoke,-15,light screen,pin missile,amnesia,metronome,peck,skull bash,seismic toss,sludge,false
cubone,dodrio,-6,dream eater,hypnosis,ember,poison sting,glare,body slam,swift,low kick,false
squirtle,oddish,-18,double team,amnesia,roar,glare,leer,bind,substitute,dragon rage,false
magneton,eevee,49,rock slide,egg bomb,tri attack,splash,mega punch,poison gas,comet punch,meditate,true
gyarados,magnemite,-4,glare,rock slide,peck,sky attack,bonemerang,lick,glare,thunder wave,true
magnemite,flareon,2,pound,skull bash,fire blast,amnesia,karate chop,sonic boom,amnesia,earthquake,true
marowak,weedle,-93,soft-boiled,amnesia,ember,comet punch,scratch,peck,acid armor,dream eater,false
charmander,pidgey,-51,lick,mega punch,amnesia,twineedle,acid armor,rock slide,fly,waterfall,false
squirtle,magneton,-52,peck,submission,low kick,tri attack,tail whip,super fang,fissure,growth,false
mewtwo,ditto,-68,thunder,super fang,karate chop,stun spore,agility,stomp,clamp,mega punch,false
sandslash,magikarp,11,sing,surf,ice punch,amnesia,struggle,sky attack,razor wind,twineedle,true
rattata,caterpie,-16,poison gas,flash,slash,leer,mega punch,gust,body slam,haze,false
drowzee,wigglytuff,-9,swords dance,bind,mega kick,petal dance,flamethrower,meditate,harden,conversion,false
kabuto,tentacool,12,hyper fang,lick,soft-boiled,rock slide,gust,sludge,smog,peck,true
jynx,cubone,-32,blizzard,pound,pound,bubble beam,fissure,sharpen,confuse ray,leech life,true
seaking,ekans,-32,spore,barrier,metronome,withdraw,lovely kiss,withdraw,rage,fly,false
victreebel,hitmonchan,-6,seismic toss,bubble beam,mega kick,thunder wave,razor wind,agility,acid,supersonic,true
charizard,moltres,51,cut,egg bomb,vine whip,slam,dig,solar beam,rock throw,roar,true
raticate,parasect,16,conversion,crabhammer,fissure,bubble beam,lovely kiss,flamethrower,sky attack,vine whip,true
venusaur,pidgeot,6,thunder shock,bind,spore,disable,smokescreen,mirror move,super fang,string shot,true
vileplume,electrode,-30,acid,rest,crabhammer,leech life,psybeam,horn attack,egg bomb,egg bomb,false
dragonite,omanyte,-49,crabhammer,peck,drill peck,confusion,spore,psychic,mimic,thunder,false
ditto,magikarp,-21,amnesia,haze,double slap,thunder wave,light screen,bubble,surf,razor leaf,false
venomoth,shellder,-51,hydro pump,transform,thunder shock,pound,leech seed,spike cannon,smokescreen,hypnosis,false
seadra,clefairy,-18,bite,withdraw,harden,sand attack,conversion,sonic boom,surf,light screen,false
arbok,spearow,-56,vice grip,surf,sky attack,headbutt,peck,sonic boom,meditate,light screen,false
weepinbell,lapras,0,spike cannon,double-edge,sharpen,reflect,bide,ice punch,fire spin,glare,true
primeape,tentacool,26,submission,swords dance,body slam,body slam,seismic toss,bind,pay day,flash,true
jynx,vaporeon,-44,take down,scratch,thrash,twineedle,bone club,ice punch,rock throw,thrash,false
meowth,tentacruel,46,dream eater,stomp,minimize,supersonic,confusion,twineedle,quick attack,supersonic,true
abra,kingler,-53,growth,waterfall,poison gas,lick,counter,mega kick,horn attack,thunderbolt,false
exeggutor,magikarp,3,rock slide,counter,flamethrower,bite,flamethrower,psychic,thunderbolt,barrage,true
kadabra,poliwrath,15,wing attack,confusion,egg bomb,surf,swords dance,leer,amnesia,sing,true
starmie,rhydon,-54,double team,recover,blizzard,strength,metronome,sludge,lovely kiss,thrash,false
venonat,omanyte,17,razor wind,comet punch,pay day,earthquake,night shade,acid,thrash,explosion,true
weedle,kadabra,22,cut,lick,teleport,leech life,gust,pound,mega kick,super fang,false
haunter,flareon,-13,growl,fire blast,bide,lovely kiss,quick attack,slam,whirlwind,bide,false
vaporeon,golduck,15,fire punch,mirror move,fly,haze,light screen,submission,rock slide,thrash,true
nidoking,bellsprout,-27,cut,gust,recover,leech life,light screen,ice punch,sand attack,aurora beam,false
meowth,dragonair,-56,metronome,hydro pump,metronome,ice punch,smokescreen,recover,supersonic,lovely kiss,true
mr. mime,machoke,-14,fury attack,recover,fly,cut,fly,egg bomb,dream eater,splash,false
dragonair,pidgeot,-11,crabhammer,bubble beam,aurora beam,guillotine,conversion,slam,confuse ray,ice punch,true
vaporeon,gastly,40,peck,growl,harden,comet punch,struggle,karate chop,defense curl,clamp,true
kangaskhan,sandshrew,-53,mimic,dream eater,spike cannon,peck,psychic,disable,lick,flamethrower,false
nidoking,alakazam,1,barrier,vine whip,night shade,headbutt,spore,wing attack,lovely kiss,sing,true
hypno,exeggcute,-20,bind,psybeam,water gun,smog,reflect,scratch,vine whip,guillotine,false
ditto,mewtwo,37,earthquake,seismic toss,skull bash,drill peck,recover,hypnosis,rock slide,bubble,true
alakazam,doduo,79,super fang,razor wind,mirror move,waterfall,sharpen,self-destruct,double kick,poison sting,true
ponyta,poliwag,17,seismic toss,razor wind,dragon rage,teleport,dragon rage,jump kick,razor leaf,supersonic,true
bulbasaur,dodrio,29,gust,mist,flash,hypnosis,tri attack,sharpen,double team,pin missile,true
rattata,starmie,-9,metronome,rage,rock throw,defense curl,flamethrower,thunder wave,rock throw,bubble,false
victreebel,ponyta,52,razor leaf,struggle,amnesia,bonemerang,dream eater,solar beam,vine whip,leech seed,true
electrode,tentacool,-30,flash,hypnosis,self-destruct,submission,haze,ember,fire blast,tri attack,false
dragonair,primeape,14,dream eater,leech life,dream eater,thunder,horn attack,bubble beam,seismic toss,psybeam,true
sandslash,charizard,-15,thunder shock,soft-boiled,poison gas,psywave,stomp,amnesia,stomp,earthquake,false
gyarados,exeggutor,-72,ember,spore,clamp,disable,poison sting,growth,bind,bite,false
poliwrath,vaporeon,-13,gust,poison sting,hypnosis,slash,thunder punch,lovely kiss,vice grip,solar beam,false
tentacool,aerodactyl,-65,twineedle,dizzy punch,comet punch,cut,sky attack,roar,sleep powder,quick attack,false
wigglytuff,wartortle,-51,withdraw,explosion,slash,hyper fang,double slap,leech life,headbutt,confusion,false
voltorb,arcanine,-32,submission,barrage,sand attack,ice punch,mega kick,fire spin,acid armor,rock throw,false
dewgong,lickitung,-5,thunder,rest,bubble,ice punch,string shot,crabhammer,screech,thrash,true
mewtwo,nidorina,37,rolling kick,meditate,rage,confusion,recover,soft-boiled,dragon rage,bonemerang,true
raichu,gengar,-59,acid,vice grip,night shade,stun spore,tail whip,tail whip,double team,whirlwind,false
tauros,gyarados,63,pay day,dizzy punch,whirlwind,vine whip,egg bomb,gust,blizzard,mega drain,true
paras,magmar,46,confuse ray,self-destruct,pay day,vine whip,seismic toss,acid armor,vice grip,lovely kiss,true
psyduck,wigglytuff,-90,slam,sleep powder,string shot,metronome,bubble,amnesia,fire blast,bone club,false
meowth,starmie,11,string shot,splash,reflect,growl,sharpen,take down,conversion,twineedle,false
butterfree,staryu,17,mimic,absorb,ice beam,harden,double-edge,double-edge,thunder,horn attack,true
parasect,weepinbell,11,ice punch,fissure,reflect,fire punch,disable,mimic,harden,agility,true
fearow,cloyster,60,whirlwind,slash,counter,metronome,fury attack,poison sting,jump kick,seismic toss,true
muk,gyarados,3,fire punch,hydro pump,quick attack,teleport,thunderbolt,guillotine,super fang,hyper beam,true
pinsir,zapdos,-41,mirror move,headbutt,wing attack,drill peck,bite,twineedle,barrage,razor wind,false
weepinbell,ivysaur,-36,vice grip,slash,jump kick,thunder shock,acid,cut,thunder punch,barrage,false
scyther,ninetales,-65,sharpen,rolling kick,stomp,mimic,amnesia,struggle,psywave,kinesis,false
charmander,tangela,-13,hypnosis,recover,stomp,splash,thunder punch,mega punch,razor wind,rolling kick,false
fearow,golbat,49,mimic,ice beam,double team,vice grip,thrash,poison gas,hyper beam,ice beam,true
sandslash,golduck,42,sing,vine whip,double-edge,aurora beam,double team,constrict,horn drill,mist,true
farfetch'd,doduo,70,hyper beam,hypnosis,dream eater,hypnosis,reflect,growth,waterfall,mega kick,true
alakazam,vulpix,-5,hyper fang,leech seed,thunder shock,crabhammer,sonic boom,confuse ray,mega drain,mega drain,true
exeggutor,venomoth,12,lick,surf,conversion,lick,withdraw,seismic toss,absorb,mimic,true
